OnsetTime	OffsetTime	MidiPitch
0.500004	4.625	51
0.500004	4.625	55
0.500004	4.625	60
0.500004	4.625	36
0.500004	4.625	39
0.500004	4.625	43
0.500004	4.625	48
4.625	5	55
4.625	5	60
4.625	5	51
5	6.125	55
5	6.125	59
5	6.125	62
5	6.125	50
6.125	6.56617	55
6.125	6.56617	60
6.125	6.56617	63
6.125	6.56617	48
6.56617	9.85384	57
6.56617	9.85384	60
6.56617	9.85384	63
6.56617	9.85384	54
9.85384	11.3538	59
9.85384	11.3538	62
9.85384	11.3538	55
12.4788	12.8538	44
12.8538	16.9788	59
12.8538	16.9788	62
12.8538	16.9788	65
12.8538	16.9788	56
16.9788	17.3538	62
16.9788	17.3538	59
16.9788	17.3538	65
16.9788	17.3538	56
17.3538	18.4788	59
17.3538	18.4788	62
17.3538	18.4788	67
17.3538	18.4788	55
18.4788	18.9136	62
18.4788	18.9136	68
18.4788	18.9136	59
18.4788	18.9136	53
18.9136	22.2013	68
18.9136	22.2013	59
18.9136	22.2013	62
18.9136	23.7013	51
22.2013	23.7013	60
22.2013	23.7013	67
22.2013	23.7013	63
24.8263	25.2013	51
25.2013	29.3263	66
25.2013	29.3263	69
25.2013	29.3263	72
25.2013	29.3263	63
29.3263	29.7013	69
29.3263	29.7013	66
29.3263	29.7013	72
29.3263	29.7013	63
29.7013	30.8551	66
29.7013	30.8551	69
29.7013	30.8551	74
29.7013	30.8551	62
30.8551	31.2718	69
30.8551	31.2718	75
30.8551	31.2718	66
30.8551	31.2718	60
31.2718	34.4718	75
31.2718	34.4718	66
31.2718	34.4718	69
31.2718	34.4718	60
34.4718	34.8468	62
34.4718	34.8468	74
34.4718	34.8468	67
34.4718	34.8468	59
35.5968	35.9718	69
35.5968	35.9718	66
35.5968	35.9718	72
35.5968	35.9718	63
35.9718	37.1718	66
35.9718	37.1718	69
35.9718	37.1718	74
35.9718	37.1718	62
37.1718	37.5718	69
37.1718	37.5718	75
37.1718	37.5718	66
37.1718	37.5718	60
37.5718	40.5718	75
37.5718	40.5718	66
37.5718	40.5718	69
37.5718	40.5718	60
40.5718	42.0004	67
40.5718	42.0004	74
40.5718	42.0004	59
40.5718	42.0004	62
42.0004	43.6442	67
42.0004	43.6442	72
42.0004	43.6442	76
42.0004	43.6442	64
42.0004	43.6442	58
42.0004	43.6442	60
43.6442	44.3501	68
43.6442	44.3501	72
43.6442	44.3501	77
43.6442	44.3501	65
43.6442	44.3501	60
43.6442	44.3501	56
45.056	46.9785	80
46.556	49.7106	34
46.556	49.7106	46
46.9785	47.1676	79
47.1676	47.3527	80
47.3527	47.5372	82
47.5372	47.7186	80
47.7186	47.8965	79
47.8965	48.0716	77
48.0716	48.2495	75
48.2495	48.4332	74
48.4332	48.6247	72
48.6247	48.823	70
48.823	48.9145	68
48.9145	49.0076	67
49.0076	49.1025	65
49.1025	49.1997	63
49.1997	49.2998	62
49.2998	49.4019	65
49.4019	49.5063	68
49.5063	49.6138	65
49.6138	49.7106	62
49.7106	50.4606	63
49.7106	50.4606	39
49.7106	50.4606	51
50.4606	51.2106	51
50.4606	51.2106	55
50.4606	51.2106	58
51.2106	53.8356	63
51.2106	53.8356	75
51.2106	51.9606	51
51.2106	51.9606	55
51.2106	51.9606	58
51.9606	52.7106	51
51.9606	52.7106	55
51.9606	52.7106	58
52.7106	53.4606	51
52.7106	53.4606	55
52.7106	53.4606	58
53.4606	54.2106	51
53.4606	54.2106	55
53.4606	54.2106	58
53.8356	54.2106	63
53.8356	54.2106	75
54.2106	55.3356	65
54.2106	55.3356	77
54.2106	54.9606	51
54.2106	54.9606	55
54.2106	54.9606	58
54.9606	55.7523	51
54.9606	55.7523	55
54.9606	55.7523	58
55.3356	55.7523	67
55.3356	55.7523	79
55.7523	57.2523	67
55.7523	57.2523	79
55.7523	56.5023	51
55.7523	56.5023	56
55.7523	56.5023	60
56.5023	57.2523	51
56.5023	57.2523	56
56.5023	57.2523	60
57.2523	58.0023	65
57.2523	58.0023	77
57.2523	58.0023	51
57.2523	58.0023	56
57.2523	58.0023	60
58.0023	58.7523	51
58.0023	58.7523	56
58.0023	58.7523	60
58.3773	58.7523	65
58.7523	59.8366	53
58.7523	59.8366	56
58.7523	59.8366	59
58.7523	59.8366	65
58.7523	59.4752	38
58.7523	59.4752	50
59.4752	60.198	38
59.4752	60.198	50
59.8366	60.198	53
59.8366	60.198	56
59.8366	60.198	59
59.8366	60.198	65
60.198	61.2824	53
60.198	61.2824	56
60.198	61.2824	60
60.198	61.2824	65
60.198	60.9209	36
60.198	60.9209	48
60.9209	61.672	36
60.9209	61.672	48
61.2824	61.672	53
61.2824	61.672	56
61.2824	61.672	60
61.2824	61.672	65
61.672	62.422	53
61.672	62.422	56
61.672	63.172	62
61.672	63.172	65
61.672	62.422	35
61.672	62.422	47
62.422	63.172	47
62.422	63.172	50
62.422	63.172	53
62.422	63.172	56
63.172	65.797	65
63.172	65.797	77
63.172	63.922	47
63.172	63.922	50
63.172	63.922	53
63.172	63.922	56
63.922	64.672	47
63.922	64.672	50
63.922	64.672	53
63.922	64.672	56
64.672	65.422	46
64.672	65.422	50
64.672	65.422	53
64.672	65.422	56
65.422	66.172	46
65.422	66.172	50
65.422	66.172	53
65.422	66.172	56
65.797	66.172	65
65.797	66.172	77
66.172	67.297	67
66.172	67.297	79
66.172	66.922	46
66.172	66.922	50
66.172	66.922	53
66.172	66.922	56
66.922	67.7136	46
66.922	67.7136	50
66.922	67.7136	53
66.922	67.7136	56
67.297	67.7136	68
67.297	67.7136	80
67.7136	69.2136	68
67.7136	69.2136	80
67.7136	68.4636	46
67.7136	68.4636	49
67.7136	68.4636	52
67.7136	68.4636	55
68.4636	69.2136	46
68.4636	69.2136	49
68.4636	69.2136	52
68.4636	69.2136	55
69.2136	69.9636	67
69.2136	69.9636	79
69.2136	69.9636	46
69.2136	69.9636	49
69.2136	69.9636	52
69.2136	69.9636	55
69.9636	70.7136	46
69.9636	70.7136	49
69.9636	70.7136	52
69.9636	70.3386	55
70.3386	70.7136	55
70.3386	70.7136	61
70.3386	70.7136	64
70.3386	70.7136	67
70.7136	71.798	57
70.7136	71.798	61
70.7136	71.798	63
70.7136	71.798	69
70.7136	71.4365	33
70.7136	71.4365	45
71.4365	72.1594	33
71.4365	72.1594	45
