OnsetTime	OffsetTime	MidiPitch
1.21098	1.28698	67
1.35697	1.43097	72
1.50797	1.58897	74
1.66196	2.10299	75
1.66297	1.80898	48
1.80898	1.95598	51
1.95698	2.10698	55
2.10698	2.25299	77
2.10997	2.25699	60
2.25798	2.69097	74
2.26098	2.40098	48
2.40197	2.54499	53
2.54499	2.69197	55
2.69197	2.84498	75
2.69397	2.84898	59
2.85197	3.39094	72
2.85197	2.99197	48
2.99297	3.13596	51
3.13896	3.28195	55
3.28296	3.43295	60
3.39494	3.43295	74
3.43694	3.57993	72
3.43694	3.58094	63
3.58094	3.71993	71
3.58294	3.71993	67
3.72094	3.86393	72
3.72094	3.86393	63
3.86692	3.97492	74
3.86792	4.00691	62
3.97592	4.01091	77
4.01192	4.15491	75
4.01391	4.15491	60
4.1569	4.2969	74
4.15791	4.29791	67
4.3009	4.44489	75
4.3019	4.44489	60
4.3039	4.4459	63
4.4479	4.6049	77
4.4479	4.60589	67
4.6089	4.75589	79
4.60989	4.75589	59
4.61189	4.75989	62
4.75989	4.9129	67
4.9139	5.07089	79
4.9179	5.07089	60
4.9179	5.0719	56
5.0749	5.2279	67
5.2289	6.1379	79
5.2289	5.37891	55
5.37891	5.5329	59
5.5369	5.6939	62
5.6939	5.8479	67
5.84891	5.99492	55
5.99591	6.13891	59
6.13891	6.2859	77
6.14291	6.2869	62
6.2869	6.36589	79
6.2889	6.43988	67
6.36589	6.40089	77
6.40089	6.43988	79
6.44389	7.0209	80
6.44389	6.57889	53
6.57988	6.72988	56
6.72988	6.87689	59
6.87789	7.02389	62
7.0249	7.3109	74
7.0249	7.16689	53
7.16789	7.3149	56
7.31589	7.45389	75
7.31589	7.45889	59
7.45889	7.53788	77
7.46089	7.60888	62
7.53888	7.57388	75
7.57489	7.60987	77
7.60987	8.19289	79
7.61187	7.75988	51
7.75988	7.90289	55
7.90689	8.04988	60
8.04988	8.19588	63
8.19689	8.48287	72
8.19689	8.33988	56
8.33988	8.48387	60
8.48688	8.63086	72
8.48787	8.63086	63
8.63186	8.78087	74
8.63386	8.78187	66
8.78187	8.92486	75
8.78386	8.92786	55
8.92887	9.07185	60
9.07185	9.21484	75
9.07285	9.21884	63
9.21884	9.35884	77
9.21984	9.36283	67
9.36584	9.50584	74
9.36584	9.50683	55
9.50883	9.64882	59
9.65282	9.80282	74
9.65282	9.80383	62
9.80383	9.94682	75
9.80583	9.94982	67
9.94982	10.2508	72
10.1038	10.2508	48
10.2518	10.4048	51
10.4078	10.5558	55
10.5568	10.8458	60
10.8468	10.9938	77
10.9938	11.1468	79
11.1508	11.7348	68
11.1518	11.7358	80
11.2948	11.4368	41
11.4378	11.5848	47
11.5848	11.7378	50
11.7388	12.0248	74
11.7388	11.8788	53
11.8818	12.0258	56
12.0288	12.1658	75
12.0298	12.1668	55
12.1668	12.3198	77
12.1688	12.3198	53
12.3238	12.9078	67
12.3258	12.9078	79
12.4668	12.6108	39
12.6108	12.7568	43
12.7578	12.9118	48
12.9118	13.1978	72
12.9128	13.0508	51
13.0538	13.1978	55
13.1988	13.3338	72
13.2018	13.3388	56
13.3408	13.4888	74
13.3418	13.4888	54
13.4898	13.6398	75
13.4918	13.6398	43
13.6418	13.7788	55
13.7798	13.9298	75
13.7798	13.9298	60
13.9338	14.0728	77
13.9338	14.0768	55
14.0768	14.2208	74
14.0778	14.2208	43
14.2218	14.3638	55
14.3648	14.5108	74
14.3668	14.5108	59
14.5118	14.6608	75
14.5138	14.6618	55
14.6618	14.9628	72
14.6638	14.8118	48
14.8118	14.9628	60
14.9628	15.5779	82
14.9658	15.1128	59
15.1158	15.2699	60
15.2708	15.4208	52
15.4239	15.5789	60
15.5789	16.0369	82
15.5818	15.7289	55
15.7299	15.8799	60
15.8829	16.0379	53
16.0379	16.1879	80
16.0399	16.1909	60
16.1909	16.3309	79
16.1919	16.3339	56
16.3349	16.4779	77
16.3379	16.4779	60
16.4818	16.6208	75
16.4818	16.6218	55
16.6238	16.7679	74
16.6248	16.7679	65
16.7688	16.9108	72
16.7719	16.9118	59
16.9148	17.0588	71
16.9158	17.0598	65
17.0598	17.3598	72
17.0618	17.2118	56
17.2168	17.3608	63
17.3628	17.9759	72
17.3628	17.9768	84
17.3638	17.5168	60
17.5178	17.6678	63
17.6688	17.8259	55
17.8259	17.9788	64
17.9788	18.4349	82
17.9799	18.1268	60
18.1268	18.2799	64
18.2849	18.4349	53
18.4359	18.5879	80
18.4379	18.5929	65
18.5949	18.7359	79
18.5959	18.7359	60
18.7388	18.8778	77
18.7388	18.8828	65
18.8828	19.0258	75
18.8858	19.0258	55
19.0288	19.1688	74
19.0288	19.1698	67
19.1728	19.3088	72
19.1768	19.3128	55
19.3128	19.4558	71
19.3158	19.4568	67
19.4568	19.7578	72
19.4598	19.7578	60
19.7608	19.8088	74
19.7608	19.9078	55
19.7638	19.9088	59
19.8098	19.8618	75
19.8628	19.9108	74
19.9108	19.9498	75
19.9498	19.9878	74
19.9918	20.0228	72
20.0228	20.0658	74
20.0658	20.2158	75
20.0688	20.2168	48
20.0688	20.2188	60
20.3738	20.5308	71
20.3738	20.5318	74
20.3768	20.5318	83
20.3768	20.5338	43
20.3778	20.5348	55
20.6918	20.8488	72
20.6918	20.8498	75
20.6928	20.8528	84
20.6958	20.8538	36
20.6958	20.8538	48
21.9688	23.1418	55
21.9688	23.1428	60
21.9728	23.1428	64
21.9728	23.1448	34
21.9738	23.1458	46
23.1488	23.2888	65
23.1498	23.4388	32
23.1498	23.4398	44
23.2888	23.4398	72
23.4428	23.5828	68
23.5858	23.7258	77
23.7298	23.8728	72
23.8738	24.0208	80
24.0208	24.1638	77
24.1648	24.3078	84
24.3078	24.4538	82
24.4548	24.6018	79
24.6018	24.7448	76
24.6028	24.8888	52
24.6028	24.8918	60
24.7458	24.8918	72
24.8928	25.0378	70
24.8958	25.1928	52
24.8958	25.1938	60
25.0418	25.1938	71
25.1938	25.3428	72
25.1958	25.4968	52
25.1958	25.4968	60
25.3438	25.5008	67
25.5008	26.1308	70
25.5038	26.4488	53
25.5048	26.4498	60
26.1338	26.4528	68
26.7638	27.9428	53
26.7648	27.9438	58
26.7648	27.9438	62
26.7678	27.9478	32
26.7678	27.9478	44
27.9488	28.0868	63
27.9508	28.2418	31
27.9508	28.2418	43
28.0878	28.2418	70
28.2428	28.3848	67
28.3858	28.5288	75
28.5318	28.6748	70
28.6758	28.8188	79
28.8228	28.9658	75
28.9668	29.1098	82
29.1098	29.2568	80
29.2568	29.3998	79
29.4008	29.5457	77
29.4008	29.6897	50
29.4028	29.6907	58
29.5468	29.6907	75
29.6937	29.8407	74
29.6947	29.9908	50
29.6947	29.9917	58
29.8407	29.9947	72
29.9947	30.1457	70
29.9977	30.2987	50
29.9977	30.2998	58
30.1457	30.3027	68
30.3038	30.4568	67
30.3038	30.4568	51
30.4608	30.6207	58
30.6218	31.2128	70
30.6218	30.7647	63
30.7647	30.9147	58
30.9158	31.0658	56
31.0658	31.2138	58
31.2138	31.6638	70
31.2148	31.3598	62
31.3628	31.5128	58
31.5138	31.6638	55
31.6648	31.8078	72
31.6678	31.8118	58
31.8118	31.9577	74
31.8128	31.9617	63
31.9628	32.1047	75
31.9628	32.1057	58
32.1087	32.2487	77
32.1087	32.2497	50
32.2517	32.4027	79
32.2527	32.4027	58
32.4037	32.5457	80
32.4037	32.5467	62
32.5497	32.7007	77
32.5507	32.7037	58
32.7037	32.8467	80
32.7077	32.8477	51
32.8507	32.9977	79
32.8517	32.9977	58
33.0017	33.1437	77
33.0017	33.1447	63
33.1447	33.2987	75
33.1477	33.2987	58
33.3017	33.4517	75
33.3057	33.4527	56
33.4527	33.5957	74
33.4557	33.5997	58
33.5997	33.7457	72
33.6007	33.7467	65
33.7507	33.9037	74
33.7507	33.9077	58
33.9077	34.0477	77
33.9087	34.0517	55
34.0517	34.2017	75
34.0547	34.2027	58
34.2027	34.3457	74
34.2047	34.3457	63
34.3467	34.4957	72
34.3487	34.4987	58
34.4997	34.7967	68
34.4997	34.7977	70
34.5027	34.6467	50
34.6497	34.8007	58
34.8007	35.0937	68
34.8047	35.0977	70
34.8047	34.9437	50
34.9437	35.0987	58
35.0987	35.2377	68
35.0997	36.4167	70
35.1007	35.2407	51
35.2417	35.3887	67
35.2447	35.3917	58
35.3917	35.5347	65
35.3957	35.5357	51
35.5357	35.6857	63
35.5387	35.6897	58
35.6897	35.8327	63
35.6907	35.8337	56
35.8337	35.9767	62
35.8357	35.9797	58
35.9797	36.1197	60
35.9807	36.1237	56
36.1267	36.2707	62
36.1277	36.2737	58
36.2737	36.4177	63
36.2777	36.4177	54
36.4217	36.5647	72
36.4217	36.5647	58
36.5657	36.7077	74
36.5657	36.7077	54
36.7107	36.8546	75
36.7117	36.8557	58
36.8557	36.9976	77
36.8577	37.0016	50
37.0016	37.1416	78
37.0016	37.1446	58
37.1456	37.2926	80
37.1486	37.2956	50
37.2956	37.4316	77
37.2996	37.4356	58
37.4366	38.0166	78
37.4366	38.0166	51
37.5866	37.8706	58
37.7256	38.3076	82
37.7266	38.0166	54
37.8706	38.0166	58
38.0136	38.5916	46
38.1606	38.4446	58
38.3076	39.1786	82
38.3086	38.5916	50
38.4446	38.5916	58
38.5906	39.1786	47
38.7416	39.0316	58
38.8886	39.7666	87
38.8886	39.1786	51
39.0316	39.1786	58
39.1756	39.7666	48
39.3156	39.6126	57
39.4666	39.7666	81
39.4696	39.7666	51
39.6126	39.7666	57
39.7636	40.4526	82
39.7666	40.0636	46
40.0646	40.2076	58
40.0646	40.2076	62
40.0676	40.2116	65
40.3476	40.9276	58
40.3486	40.9286	66
40.3486	40.9326	63
40.4536	40.5436	81
40.5476	40.6416	82
40.6446	40.7356	84
40.7396	40.8346	82
40.8376	40.9326	81
40.9326	41.6176	82
41.2296	41.3766	58
41.2296	41.3776	62
41.2336	41.3776	65
41.5206	42.1016	58
41.5206	42.1016	66
41.5236	42.1026	63
41.6216	41.7156	81
41.7196	41.8106	82
41.8106	41.9096	84
41.9096	42.0026	82
42.0036	42.1046	81
42.1046	42.3986	58
42.1086	42.3986	62
42.1086	42.3996	65
42.2056	42.3036	82
42.3046	42.4026	84
42.4026	42.4966	86
42.4966	42.5876	84
42.5906	42.6856	82
42.6886	42.9826	58
42.6896	42.9836	65
42.6926	42.9836	68
42.7906	42.8916	86
42.8926	42.9866	87
42.9876	43.0846	89
43.0846	43.1756	87
43.1756	43.2736	86
43.2746	43.3686	89
43.2766	43.5566	58
43.2766	43.5576	62
43.2776	43.5606	65
43.2776	43.5616	68
43.3686	43.4666	87
43.4666	43.5616	86
43.5636	43.6546	84
43.6586	43.7496	82
43.7496	43.8476	80
43.8486	43.9416	79
43.9426	44.0406	77
44.0406	44.1386	75
44.1386	44.2076	74
44.2086	44.2816	72
44.2846	44.3585	70
44.3585	44.4286	68
44.4286	44.5335	67
44.4326	44.7265	51
44.5265	44.6315	63
44.6275	44.7295	65
44.7265	44.8236	67
44.8165	44.9215	65
44.9145	45.0135	63
45.0095	45.5835	68
45.1075	45.2056	58
45.2015	45.3005	60
45.2925	45.3985	62
45.3915	45.4955	60
